ASSAY_ID,assay_chembl_id,16_auc_before_train,32_auc_before_train,64_auc_before_train,96_auc_before_train,16_auc_after_train,32_auc_after_train,64_auc_after_train,96_auc_after_train
688267,CHEMBL1614530,0.50+/-0.09,0.52+/-0.08,0.53+/-0.10,0.52+/-0.10,0.52+/-0.07,0.52+/-0.09,0.52+/-0.10,0.51+/-0.10
600886,CHEMBL1040692,0.50+/-0.09,0.49+/-0.08,0.48+/-0.09,0.49+/-0.10,0.49+/-0.08,0.49+/-0.09,0.48+/-0.09,0.50+/-0.09
737826,CHEMBL1741325,0.50+/-0.10,0.49+/-0.09,0.52+/-0.10,0.51+/-0.10,0.50+/-0.06,0.51+/-0.08,0.51+/-0.09,0.48+/-0.09
737824_1,CHEMBL1741323,0.49+/-0.09,0.50+/-0.09,0.50+/-0.08,0.50+/-0.10,0.49+/-0.07,0.48+/-0.08,0.50+/-0.09,0.49+/-0.09
737825,CHEMBL1741324,0.50+/-0.07,0.49+/-0.08,0.49+/-0.08,0.51+/-0.09,0.51+/-0.07,0.50+/-0.09,0.50+/-0.09,0.50+/-0.09
1495405,CHEMBL3562136,0.51+/-0.09,0.50+/-0.08,0.50+/-0.07,0.51+/-0.10,0.50+/-0.08,0.53+/-0.08,0.51+/-0.09,0.50+/-0.08
737053,CHEMBL1738598,0.50+/-0.08,0.49+/-0.09,0.50+/-0.09,0.50+/-0.09,0.50+/-0.08,0.50+/-0.08,0.48+/-0.08,0.51+/-0.09
737400,CHEMBL1738606,0.51+/-0.09,0.50+/-0.09,0.51+/-0.08,0.50+/-0.09,0.50+/-0.08,0.49+/-0.08,0.49+/-0.08,0.49+/-0.09
736947,CHEMBL1738312,0.50+/-0.09,0.49+/-0.09,0.49+/-0.08,0.50+/-0.09,0.50+/-0.10,0.49+/-0.08,0.51+/-0.09,0.52+/-0.10
752347,CHEMBL1794311,0.49+/-0.08,0.50+/-0.10,0.50+/-0.10,0.47+/-0.09,0.50+/-0.09,0.50+/-0.08,0.48+/-0.09,0.50+/-0.09
752496,CHEMBL1794486,0.49+/-0.09,0.50+/-0.09,0.51+/-0.09,0.50+/-0.10,0.49+/-0.08,0.51+/-0.08,0.49+/-0.09,0.49+/-0.10
752509,CHEMBL1794499,0.50+/-0.08,0.50+/-0.09,0.50+/-0.10,0.50+/-0.08,0.50+/-0.09,0.51+/-0.08,0.49+/-0.09,0.50+/-0.09
752594,CHEMBL1794584,0.52+/-0.09,0.52+/-0.08,0.50+/-0.09,0.51+/-0.08,0.53+/-0.09,0.53+/-0.08,0.55+/-0.09,0.56+/-0.09
809095,CHEMBL1964081,0.50+/-0.07,0.51+/-0.09,0.49+/-0.09,0.51+/-0.08,0.48+/-0.08,0.49+/-0.09,0.50+/-0.09,0.50+/-0.08
845173,CHEMBL2114784,0.54+/-0.10,0.53+/-0.08,0.52+/-0.08,0.53+/-0.09,0.54+/-0.09,0.55+/-0.09,0.55+/-0.10,0.57+/-0.06
845196,CHEMBL2114807,0.53+/-0.08,0.52+/-0.09,0.50+/-0.09,0.51+/-0.10,0.52+/-0.08,0.53+/-0.10,0.53+/-0.09,0.55+/-0.08
954338,CHEMBL2354287,0.50+/-0.09,0.50+/-0.08,0.48+/-0.08,0.48+/-0.09,0.48+/-0.08,0.47+/-0.09,0.51+/-0.08,0.49+/-0.09
845206,CHEMBL2114817,0.48+/-0.08,0.50+/-0.09,0.51+/-0.10,0.50+/-0.09,0.49+/-0.08,0.52+/-0.09,0.52+/-0.10,0.52+/-0.09
