ASSAY_ID,assay_chembl_id,8_auc_after_train,16_auc_after_train,32_auc_after_train,64_auc_after_train,96_auc_after_train
688267,CHEMBL1614530,0.52+/-0.10,0.55+/-0.10,0.57+/-0.11,0.59+/-0.09,0.61+/-0.09
600886,CHEMBL1040692,0.50+/-0.08,0.52+/-0.09,0.54+/-0.10,0.58+/-0.08,0.59+/-0.09
737826,CHEMBL1741325,0.59+/-0.13,0.57+/-0.11,0.62+/-0.12,0.67+/-0.10,0.65+/-0.08
737824_1,CHEMBL1741323,0.58+/-0.13,0.60+/-0.11,0.66+/-0.09,0.64+/-0.10,0.67+/-0.10
737825,CHEMBL1741324,0.54+/-0.10,0.53+/-0.09,0.56+/-0.11,0.55+/-0.11,0.58+/-0.09
1495405,CHEMBL3562136,0.58+/-0.12,0.66+/-0.09,0.66+/-0.09,0.68+/-0.09,0.68+/-0.09
737053,CHEMBL1738598,0.51+/-0.09,0.50+/-0.08,0.50+/-0.09,0.52+/-0.09,0.55+/-0.06
737400,CHEMBL1738606,0.52+/-0.11,0.56+/-0.11,0.57+/-0.10,0.58+/-0.10,0.59+/-0.08
736947,CHEMBL1738312,0.52+/-0.10,0.55+/-0.10,0.54+/-0.09,0.57+/-0.10,0.58+/-0.08
752347,CHEMBL1794311,0.60+/-0.13,0.63+/-0.11,0.68+/-0.10,0.70+/-0.09,0.72+/-0.09
752496,CHEMBL1794486,0.55+/-0.08,0.56+/-0.09,0.53+/-0.09,0.61+/-0.10,0.58+/-0.08
752509,CHEMBL1794499,0.54+/-0.09,0.54+/-0.09,0.59+/-0.08,0.57+/-0.08,0.60+/-0.09
752594,CHEMBL1794584,0.70+/-0.09,0.74+/-0.08,0.75+/-0.09,0.76+/-0.07,0.76+/-0.08
809095,CHEMBL1964081,0.57+/-0.12,0.65+/-0.10,0.64+/-0.09,0.66+/-0.08,0.65+/-0.09
845173,CHEMBL2114784,0.71+/-0.09,0.78+/-0.07,0.81+/-0.07,0.82+/-0.06,0.81+/-0.08
845196,CHEMBL2114807,0.64+/-0.12,0.69+/-0.09,0.70+/-0.08,0.72+/-0.10,0.75+/-0.08
954338,CHEMBL2354287,0.51+/-0.08,0.50+/-0.08,0.48+/-0.10,0.52+/-0.08,0.52+/-0.08
845206,CHEMBL2114817,0.52+/-0.09,0.55+/-0.10,0.59+/-0.09,0.58+/-0.08,0.57+/-0.10
